SYMBOL	DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
1018GS2026	2026-02-13	105.1	105.1	105.1	105.1	400
20MICRONS	2026-02-13	185.0	186.11	180.1	181.07	76537
21STCENMGM	2026-02-13	38.2	39.49	38.01	38.28	1372
360ONE	2026-02-13	1136.3	1146.2	1115.6	1126.8	471438
3IINFOLTD	2026-02-13	15.25	16.36	15.1	15.92	617915
3MINDIA	2026-02-13	36995.0	36995.0	34705.0	35115.0	9115
3PLAND	2026-02-13	34.75	34.75	32.8	34.7	657
5PAISA	2026-02-13	331.0	331.25	321.0	323.45	34876
601GS2030	2026-02-13	99.0	99.0	99.0	99.0	2
610GS2031	2026-02-13	98.25	98.25	98.25	98.25	1
622GS2035	2026-02-13	97.37	97.37	96.4	96.4	2000
633GS2035	2026-02-13	99.7	99.7	99.7	99.7	8
63MOONS	2026-02-13	687.0	696.45	665.0	687.0	129989
648GS2035	2026-02-13	101.0	101.0	100.35	100.35	202601
654GS2032	2026-02-13	99.8	99.8	99.8	99.8	5000
664GS2035	2026-02-13	99.5	99.5	99.5	99.5	2000
667GS2035	2026-02-13	100.7	105.52	100.51	105.52	101
667GS2050	2026-02-13	93.4	93.4	93.0	93.0	56
668GS2033	2026-02-13	99.09	99.09	99.09	99.09	95
668GS2040	2026-02-13	96.0	97.35	96.0	97.0	16001
675GS2029	2026-02-13	101.16	101.16	101.16	101.16	100
676GS2061	2026-02-13	94.4	94.8	94.4	94.8	4650
679GS2034A	2026-02-13	90.0	90.0	90.0	90.0	100
690GS2065	2026-02-13	95.3	95.3	95.0	95.19	62913
692GS2039	2026-02-13	99.0	99.0	99.0	99.0	627
695GS2061	2026-02-13	94.39	95.5	94.0	94.0	14317
698GR2054	2026-02-13	94.0	95.0	94.0	95.0	1255
699GS2026	2026-02-13	102.33	102.33	101.99	102.01	4100
699GS2051	2026-02-13	96.49	96.49	96.0	96.1	10030
702GS2027	2026-02-13	101.82	102.22	101.82	102.22	600
702GS2031	2026-02-13	101.31	101.31	101.31	101.31	200
706GS2028	2026-02-13	103.75	103.75	103.75	103.75	9900
709GS2054	2026-02-13	96.56	97.49	96.5	97.49	4245
709GS2074	2026-02-13	96.33	96.9	96.3	96.6	107312
710GS2029	2026-02-13	104.65	105.14	104.65	104.7	21921
717GS2030	2026-02-13	105.1	105.2	105.1	105.2	12736
718GS2033	2026-02-13	102.95	102.95	102.95	102.95	600
718GS2037	2026-02-13	103.25	103.25	102.59	102.59	4464
719GS2060	2026-02-13	100.5	100.5	100.49	100.5	27
71GS2034	2026-02-13	104.11	104.11	104.0	104.0	100
724GS2055	2026-02-13	101.51	102.8	101.51	101.7	2516
725GS2063	2026-02-13	98.4	98.6	98.0	98.32	211348
726GS2032	2026-02-13	106.65	106.65	106.65	106.65	4700
726GS2033	2026-02-13	103.49	103.49	103.49	103.49	1500
733GS2026	2026-02-13	102.26	102.65	102.26	102.65	306
734GS2064	2026-02-13	100.5	100.5	100.2	100.34	272528
737GS2028	2026-02-13	104.2	104.2	104.2	104.2	900
738GS2027	2026-02-13	102.63	103.18	102.63	103.06	82117
73GS2053	2026-02-13	100.88	100.88	99.61	99.61	502
741GS2036	2026-02-13	105.75	105.75	105.0	105.0	2010
743GS2076	2026-02-13	102.0	103.0	101.7	101.7	1800
746GS2073	2026-02-13	102.9	103.25	102.22	103.0	3952
74GS2062	2026-02-13	101.51	102.0	101.51	101.7	1176
754GS2036	2026-02-13	106.81	107.35	106.81	107.24	279962
757GS2033	2026-02-13	105.35	105.35	105.35	105.35	196
762GS2039	2026-02-13	107.2	108.5	107.2	108.5	2
813GS2045	2026-02-13	113.41	113.41	113.2	113.3	3
824GS2027	2026-02-13	104.9	104.9	102.15	102.29	3642
828GS2032	2026-02-13	108.0	108.0	108.0	108.0	1100
83GS2042	2026-02-13	112.4	112.4	111.7	111.7	3464
897GS2030	2026-02-13	113.5	113.5	110.01	112.33	3000
92GS2030	2026-02-13	115.5	115.5	114.5	115.06	46833
A2ZINFRA	2026-02-13	14.5	14.79	14.3	14.53	91810
AAATECH	2026-02-13	116.9	116.9	106.3	113.99	51112
AADHARHFC	2026-02-13	471.0	473.5	464.4	466.65	276678
AAKAAR	2026-02-13	47.2	51.95	46.25	48.0	59200
AAKASH	2026-02-13	7.81	8.09	7.81	7.91	47892
AARADHYA	2026-02-13	108.05	108.05	108.05	108.05	1200
AAREYDRUGS	2026-02-13	69.87	69.87	66.25	66.98	45054
AARON	2026-02-13	160.6	162.0	156.0	159.63	7981
AARTECH	2026-02-13	47.0	47.68	45.62	46.54	190074
AARTIDRUGS	2026-02-13	371.0	374.45	367.1	371.7	87618
AARTIIND	2026-02-13	459.2	460.0	443.1	446.4	739623
AARTIPHARM	2026-02-13	710.0	715.65	699.3	709.2	171579
AARTISURF	2026-02-13	423.0	427.7	416.5	423.55	5659
AARVI	2026-02-13	131.37	131.37	126.5	127.69	15980
AAVAS	2026-02-13	1300.5	1303.6	1264.1	1286.6	399683
ABAN	2026-02-13	21.69	21.69	20.6	20.81	44466
ABB	2026-02-13	5788.5	5855.0	5726.5	5780.5	152957
ABBOTINDIA	2026-02-13	26680.0	26685.0	26300.0	26460.0	6553
ABCAPITAL	2026-02-13	344.0	344.0	334.5	336.2	5436281
ABCOTS	2026-02-13	435.0	435.0	425.05	429.2	7668
ABDL	2026-02-13	530.0	539.55	523.15	529.15	429481
ABFRL	2026-02-13	70.0	75.1	68.32	73.8	19443779
ABGSEC	2026-02-13	111.54	111.62	111.53	111.54	95
ABHAPOWER	2026-02-13	32.0	32.45	30.55	32.45	14400
ABINFRA	2026-02-13	20.59	20.59	19.4	19.76	1030906
ABLBL	2026-02-13	114.0	115.3	111.5	112.67	1012794
ABMINTLLTD	2026-02-13	55.51	55.51	50.04	50.67	8236
ABREL	2026-02-13	1409.6	1413.1	1374.1	1386.8	77682
ABSLAMC	2026-02-13	868.65	878.8	850.2	869.25	342522
ABSLBANETF	2026-02-13	63.65	63.65	61.48	61.59	10678
ABSLLIQUID	2026-02-13	1000.01	1000.01	999.99	1000.0	823
ABSLNN50ET	2026-02-13	72.0	73.2	71.2	72.13	3166
ABSLPSE	2026-02-13	10.97	10.97	10.48	10.48	864175
ABSMARINE	2026-02-13	183.0	186.5	181.05	183.0	60500
ACC	2026-02-13	1667.9	1675.0	1632.0	1637.1	129132
ACCELYA	2026-02-13	1200.0	1206.8	1182.1	1191.6	23917
ACCENTMIC	2026-02-13	325.0	325.0	320.0	321.85	22500
ACCPL	2026-02-13	68.5	68.5	68.5	68.5	4800
ACCURACY	2026-02-13	5.15	5.19	5.03	5.11	42556
ACE	2026-02-13	895.0	902.0	876.05	897.15	173931
ACEINTEG	2026-02-13	20.01	20.01	19.41	19.71	1553
ACI	2026-02-13	575.0	579.8	566.0	569.0	66084
ACL	2026-02-13	55.25	56.41	54.65	55.32	29249
ACMESOLAR	2026-02-13	222.0	225.87	218.49	224.64	366314
ACUTAAS	2026-02-13	2090.0	2104.8	2010.0	2017.6	309000
ADANIENSOL	2026-02-13	1017.0	1017.0	979.0	988.0	1657616
ADANIENT	2026-02-13	2210.0	2210.0	2124.2	2136.6	1489548
ADANIGREEN	2026-02-13	988.9	989.9	943.75	950.5	2943844
ADANIPORTS	2026-02-13	1543.0	1543.0	1507.0	1519.0	1838361
ADANIPOWER	2026-02-13	149.2	149.3	139.1	139.9	38679559
ADDICTIVE	2026-02-13	111.0	111.0	106.5	106.5	1500
ADFFOODS	2026-02-13	218.88	225.69	212.0	219.83	128433
ADL	2026-02-13	73.0	74.73	72.55	74.7	302
ADOR	2026-02-13	1070.0	1070.0	1040.0	1048.5	8206
ADROITINFO	2026-02-13	10.17	10.17	9.8	9.91	36043
ADSL	2026-02-13	124.8	124.8	118.85	119.34	182844
ADVAIT	2026-02-13	1741.0	1768.0	1716.1	1733.2	28695
ADVANCE	2026-02-13	138.5	140.05	135.3	138.3	568320
ADVANIHOTR	2026-02-13	55.41	57.0	55.41	56.25	56009
ADVENTHTL	2026-02-13	215.0	218.97	207.22	210.97	122789
ADVENZYMES	2026-02-13	303.6	305.0	297.1	300.95	68158
AEGISLOG	2026-02-13	705.7	710.7	690.0	700.15	150056
AEGISVOPAK	2026-02-13	212.0	217.14	204.5	214.25	674274
AEQUS	2026-02-13	143.1	145.6	138.94	141.99	657670
AEROENTER	2026-02-13	80.1	80.64	78.01	79.25	166388
AEROFLEX	2026-02-13	191.0	192.25	185.23	186.38	478368
AERON	2026-02-13	98.75	98.75	98.15	98.15	4000
AERONEU	2026-02-13	70.51	71.38	68.6	69.89	46006
AESTHETIK	2026-02-13	84.9	85.5	84.9	85.0	4000
AETHER	2026-02-13	960.2	978.5	948.0	966.9	91324
AFCONS	2026-02-13	332.8	334.95	328.8	332.25	116290
AFFLE	2026-02-13	1605.7	1610.0	1553.0	1560.5	368172
AFFORDABLE	2026-02-13	202.55	207.0	196.55	203.67	35369
AFIL	2026-02-13	5.04	5.04	4.91	4.98	479579
AFSL	2026-02-13	202.1	202.47	201.0	201.06	14423
AGARIND	2026-02-13	707.0	711.15	689.05	697.9	12795
AGARWALEYE	2026-02-13	453.0	461.95	447.7	455.05	53932
AGARWALFT	2026-02-13	32.0	32.0	32.0	32.0	1500
AGARWALTUF	2026-02-13	100.0	100.0	96.0	96.9	50400
AGI	2026-02-13	633.0	634.5	607.05	610.1	136848
AGIIL	2026-02-13	241.0	243.1	236.0	237.35	275405
AGNI	2026-02-13	19.5	19.5	19.3	19.35	10000
AGRITECH	2026-02-13	133.72	138.4	130.01	134.93	1415
AGROPHOS	2026-02-13	35.15	36.0	35.1	35.42	9504
AGSTRA	2026-02-13	3.99	3.99	3.66	3.83	261275
AHCL	2026-02-13	122.0	122.85	120.34	121.56	84764
AHIMSA	2026-02-13	24.85	24.85	24.85	24.85	3000
AHLADA	2026-02-13	50.1	51.5	49.0	50.9	15967
AHLEAST	2026-02-13	150.05	150.99	145.0	150.05	9019
AHLUCONT	2026-02-13	900.0	913.3	885.0	899.9	203833
AIAENG	2026-02-13	3939.0	3965.2	3828.6	3861.8	68253
AIIL	2026-02-13	490.0	500.7	485.0	486.35	270977
AILIMITED	2026-02-13	28.0	28.75	28.0	28.75	3000
AIMTRON	2026-02-13	849.95	859.95	822.75	834.65	16600
AIRAN	2026-02-13	20.67	20.67	19.17	19.17	543181
AIROLAM	2026-02-13	93.56	95.38	93.55	94.09	933
AISL	2026-02-13	69.1	70.5	69.1	70.5	2400
AJANTPHARM	2026-02-13	2885.0	2942.5	2851.1	2920.1	171375
AJAXENGG	2026-02-13	480.0	487.25	467.9	476.9	322477
AJMERA	2026-02-13	145.0	145.0	136.1	137.94	228779
AJOONI	2026-02-13	5.07	5.07	4.85	4.94	519902
AKANKSHA	2026-02-13	80.0	83.0	77.55	79.05	65000
AKASH	2026-02-13	24.94	24.94	24.11	24.63	10668
AKG	2026-02-13	14.27	14.6	13.96	14.38	205976
AKI	2026-02-13	6.41	6.69	6.41	6.58	22844
AKIKO	2026-02-13	214.7	222.4	214.65	216.9	7200
AKSHAR	2026-02-13	0.51	0.52	0.48	0.5	1616748
AKSHARCHEM	2026-02-13	222.0	224.0	216.19	223.16	1021
AKSHOPTFBR	2026-02-13	5.2	5.3	5.08	5.11	130622
AKUMS	2026-02-13	456.5	463.45	448.25	451.35	70716
AKZOINDIA	2026-02-13	3000.0	3019.8	2889.3	2950.9	28914
ALANKIT	2026-02-13	9.48	9.51	9.25	9.28	201699
ALBERTDAVD	2026-02-13	749.95	756.35	737.65	750.2	7173
ALEMBICLTD	2026-02-13	96.99	96.99	94.2	95.47	244042
ALGOQUANT	2026-02-13	58.79	59.5	57.96	58.29	406429
ALICON	2026-02-13	822.0	822.0	776.35	786.8	9490
ALIVUS	2026-02-13	920.0	935.0	910.2	919.8	53913
ALKALI	2026-02-13	70.99	70.99	69.2	70.42	2730
ALKEM	2026-02-13	5850.0	5850.0	5331.5	5402.5	605115
ALKYLAMINE	2026-02-13	1520.0	1533.4	1510.3	1522.9	24539
ALLCARGO	2026-02-13	9.5	9.58	9.21	9.29	5069335
ALLDIGI	2026-02-13	842.05	873.75	808.1	830.2	17432
ALLETEC	2026-02-13	182.85	182.85	173.6	178.8	31200
ALLTIME	2026-02-13	261.1	264.4	253.25	258.96	26528
ALMONDZ	2026-02-13	15.3	16.1	15.3	15.8	93334
ALOKINDS	2026-02-13	15.54	15.62	14.96	15.1	6518121
ALPA	2026-02-13	68.98	69.45	67.41	67.65	10159
ALPEXSOLAR	2026-02-13	841.0	883.0	840.0	876.6	32600
ALPHA	2026-02-13	48.59	48.82	47.88	48.14	1404230
ALPHAETF	2026-02-13	25.71	25.71	25.29	25.32	762312
ALPHAGEO	2026-02-13	209.0	213.9	208.03	209.53	8764
ALPL30IETF	2026-02-13	28.15	28.18	27.9	27.97	642781
ALUWIND	2026-02-13	60.4	60.4	60.4	60.4	1500
